datetime,symbol,open,high,low,close,volume
2024-09-16 12:00:00,CRYPTOCAP:TOTAL,1989602039903.0,1999708208910.0,1989390130062.0,1999698200567.0,116342167538.96384
2024-09-16 13:00:00,CRYPTOCAP:TOTAL,1999686802712.0,2004698766244.0,1997480035519.0,1998748081914.0,116342167538.96384
2024-09-16 14:00:00,CRYPTOCAP:TOTAL,1998756549037.0,2009364613075.0,1997665643972.0,2007936669467.0,116342167538.96384
2024-09-16 15:00:00,CRYPTOCAP:TOTAL,2007939365878.0,2018257905773.0,2006307224872.0,2008598053805.0,116342167538.96384
2024-09-16 16:00:00,CRYPTOCAP:TOTAL,2008595316544.0,2011941421291.0,1995755392836.0,1997230947808.0,116342167538.96384
2024-09-16 17:00:00,CRYPTOCAP:TOTAL,1997243380677.0,2003037005147.0,1994477515722.0,2002287820086.0,116342167538.96384
2024-09-16 18:00:00,CRYPTOCAP:TOTAL,2002296613503.0,2004647245355.0,2000234375966.0,2000802429697.0,116342167538.96384
2024-09-16 19:00:00,CRYPTOCAP:TOTAL,2000799680170.0,2004433269615.0,1993590210875.0,1996227289377.0,116342167538.96384
2024-09-16 20:00:00,CRYPTOCAP:TOTAL,1996207188184.0,1999228617367.0,1983546543276.0,1996487651882.0,116342167538.96384
2024-09-16 21:00:00,CRYPTOCAP:TOTAL,1996515640609.0,1998336466064.0,1969377681428.0,1971293623326.0,116342167538.96384
2024-09-16 22:00:00,CRYPTOCAP:TOTAL,1971286097195.0,1983625503378.0,1970402616449.0,1978587535529.0,116342167538.96384
2024-09-16 23:00:00,CRYPTOCAP:TOTAL,1978600448422.0,1981635108873.0,1972918823204.0,1976200532522.0,116342167538.96384
2024-09-17 00:00:00,CRYPTOCAP:TOTAL,1976218687006.0,1990040919882.0,1965626615048.0,1987561522702.0,116342167538.96384
2024-09-17 01:00:00,CRYPTOCAP:TOTAL,1987568564222.0,1987882591072.0,1972992614290.0,1978163610372.0,116342167538.96384
2024-09-17 02:00:00,CRYPTOCAP:TOTAL,1978159803326.0,1981869588860.0,1974472508838.0,1977626111451.0,116342167538.96384
2024-09-17 03:00:00,CRYPTOCAP:TOTAL,1977626978697.0,1984527626034.0,1969394119174.0,1969911659079.0,116342167538.96384
2024-09-17 04:00:00,CRYPTOCAP:TOTAL,1969935744818.0,1980559357194.0,1967896541134.0,1980522877201.0,116342167538.96384
2024-09-17 05:00:00,CRYPTOCAP:TOTAL,1980523098437.0,1981252666219.0,1975091810352.0,1978073972853.0,116342167538.96384
2024-09-17 06:00:00,CRYPTOCAP:TOTAL,1978077903231.0,1992147988170.0,1978076253566.0,1986658614114.0,116342167538.96384
2024-09-17 07:00:00,CRYPTOCAP:TOTAL,1986657100033.0,1990184912141.0,1968970274916.0,1969065737067.0,111828508768.47594
2024-09-17 08:00:00,CRYPTOCAP:TOTAL,1969030173105.0,1977412259763.0,1967764620501.0,1975521911661.0,111828508768.47594
2024-09-17 09:00:00,CRYPTOCAP:TOTAL,1975523522370.0,1985481120147.0,1974707504634.0,1982517457494.0,111828508768.47594
2024-09-17 10:00:00,CRYPTOCAP:TOTAL,1982517429250.0,1984533502023.0,1980082199052.0,1982220005630.0,111828508768.47594
2024-09-17 11:00:00,CRYPTOCAP:TOTAL,1982205137544.0,1989972891581.0,1981319987226.0,1987830172564.0,111828508768.47594
2024-09-17 12:00:00,CRYPTOCAP:TOTAL,1987817773104.0,2003677030579.0,1987570520206.0,2000326883475.0,111828508768.47594
2024-09-17 13:00:00,CRYPTOCAP:TOTAL,2000323775450.0,2001021944586.0,1994008397483.0,1995120241671.0,111828508768.47594
2024-09-17 14:00:00,CRYPTOCAP:TOTAL,1995113470944.0,2001579647440.0,1993437473575.0,2001125866483.0,111828508768.47594
2024-09-17 15:00:00,CRYPTOCAP:TOTAL,2001131954998.0,2005652865408.0,1999504830020.0,2003331992723.0,111828508768.47594
2024-09-17 16:00:00,CRYPTOCAP:TOTAL,2003334312408.0,2011608756008.0,1999694215294.0,2007979715134.0,111828508768.47594
2024-09-17 17:00:00,CRYPTOCAP:TOTAL,2007972840477.0,2015539261995.0,2006036058930.0,2014712060704.0,111828508768.47594
2024-09-17 18:00:00,CRYPTOCAP:TOTAL,2014704940164.0,2016973396571.0,2007703958342.0,2009206911551.0,111828508768.47594
2024-09-17 19:00:00,CRYPTOCAP:TOTAL,2009204768696.0,2019531654206.0,2008061456239.0,2017692001478.0,111828508768.47594
2024-09-17 20:00:00,CRYPTOCAP:TOTAL,2017686758006.0,2020122210947.0,2002707287069.0,2005623695143.0,111828508768.47594
2024-09-17 21:00:00,CRYPTOCAP:TOTAL,2005599562091.0,2047929315996.0,2004806337365.0,2041329381749.0,111828508768.47594
2024-09-17 22:00:00,CRYPTOCAP:TOTAL,2041358529746.0,2072800493126.0,2040899727068.0,2066479058517.0,111828508768.47594
2024-09-17 23:00:00,CRYPTOCAP:TOTAL,2066488105402.0,2070244688460.0,2052571231295.0,2055384245582.0,111828508768.47594
2024-09-18 00:00:00,CRYPTOCAP:TOTAL,2055400124428.0,2060596208588.0,2050923323007.0,2058046634846.0,111828508768.47594
2024-09-18 01:00:00,CRYPTOCAP:TOTAL,2058059316521.0,2061133141541.0,2041134452789.0,2045984806140.0,111828508768.47594
2024-09-18 02:00:00,CRYPTOCAP:TOTAL,2046009270037.0,2050015778281.0,2022692637195.0,2034083865122.0,111828508768.47594
2024-09-18 03:00:00,CRYPTOCAP:TOTAL,2034061184396.0,2043505828311.0,2028099415782.0,2036122469777.0,111828508768.47594
2024-09-18 04:00:00,CRYPTOCAP:TOTAL,2036112952111.0,2044886649731.0,2035856808866.0,2042153424243.0,111828508768.47594
2024-09-18 05:00:00,CRYPTOCAP:TOTAL,2042164133346.0,2042197132679.0,2034692926564.0,2037822738010.0,111828508768.47594
2024-09-18 06:00:00,CRYPTOCAP:TOTAL,2037826012768.0,2039943860363.0,2031445156962.0,2039676566210.0,111828508768.47594
2024-09-18 07:00:00,CRYPTOCAP:TOTAL,2039674540582.0,2040281851997.0,2024225127120.0,2035691757371.0,140491832241.7262
2024-09-18 08:00:00,CRYPTOCAP:TOTAL,2035698646514.0,2038314296419.0,2028418526339.0,2032710125025.0,140491832241.7262
